mean,ID,name,system:index
6.0,6,Fuzhou,4_79
6.0,6,Fuzhou,4_80
5.0,6,Fuzhou,4_81
6.0,6,Fuzhou,4_82
6.0,6,Fuzhou,4_83
5.0,6,Fuzhou,4_84
6.0,6,Fuzhou,4_85
6.0,6,Fuzhou,4_86
6.0,6,Fuzhou,4_87
6.0,6,Fuzhou,4_88
6.0,6,Fuzhou,4_89
6.0,6,Fuzhou,4_90
5.0,6,Fuzhou,4_91
6.0,6,Fuzhou,4_92
6.0,6,Fuzhou,4_93
6.0,6,Fuzhou,4_94
6.0,6,Fuzhou,4_95
6.0,6,Fuzhou,4_96
6.0,6,Fuzhou,4_97
6.0,6,Fuzhou,4_98
6.0,6,Fuzhou,4_99
6.0,6,Fuzhou,4_100
6.0,6,Fuzhou,4_101
6.0,6,Fuzhou,4_102
5.0,6,Fuzhou,4_103
6.0,6,Fuzhou,4_104
5.0,6,Fuzhou,4_105
5.0,6,Fuzhou,4_106
6.0,6,Fuzhou,4_107
6.0,6,Fuzhou,4_108
5.0,6,Fuzhou,4_109
6.0,6,Fuzhou,4_110
5.0,6,Fuzhou,4_111
5.0,6,Fuzhou,4_112
6.0,6,Fuzhou,4_113
6.0,6,Fuzhou,4_114
6.0,6,Fuzhou,4_115
6.0,6,Fuzhou,4_116
5.0,6,Fuzhou,4_117
6.0,6,Fuzhou,4_118
5.0,6,Fuzhou,4_119
6.0,6,Fuzhou,4_120
6.0,6,Fuzhou,4_121
6.0,6,Fuzhou,4_122
6.0,6,Fuzhou,4_123
5.0,6,Fuzhou,4_124
6.0,6,Fuzhou,4_125
6.0,6,Fuzhou,4_126
6.0,6,Fuzhou,4_127
6.0,6,Fuzhou,4_128
6.0,6,Fuzhou,4_129
6.0,6,Fuzhou,4_130
6.0,6,Fuzhou,4_131
5.0,6,Fuzhou,4_132
6.0,6,Fuzhou,4_133
6.0,6,Fuzhou,4_134
6.0,6,Fuzhou,4_135
6.0,6,Fuzhou,4_136
6.0,6,Fuzhou,4_137
6.0,6,Fuzhou,4_138
6.0,6,Fuzhou,4_139
6.0,6,Fuzhou,4_140
5.0,6,Fuzhou,4_141
5.0,6,Fuzhou,4_142
6.0,6,Fuzhou,4_143
6.0,6,Fuzhou,4_144
6.0,6,Fuzhou,4_145
6.0,6,Fuzhou,4_146
6.0,6,Fuzhou,4_147
6.0,6,Fuzhou,4_148
5.0,6,Fuzhou,4_149
4.0,5,Yingtan,5_0
5.0,5,Yingtan,5_1
5.0,5,Yingtan,5_2
4.0,5,Yingtan,5_3
4.0,5,Yingtan,5_4
4.0,5,Yingtan,5_5
4.0,5,Yingtan,5_6
4.0,5,Yingtan,5_7
4.0,5,Yingtan,5_8
4.0,5,Yingtan,5_9
4.0,5,Yingtan,5_10
4.0,5,Yingtan,5_11
4.0,5,Yingtan,5_12
4.0,5,Yingtan,5_13
5.0,5,Yingtan,5_14
4.0,5,Yingtan,5_15
4.0,5,Yingtan,5_16
4.0,5,Yingtan,5_17
4.0,5,Yingtan,5_18
5.0,5,Yingtan,5_19
4.0,5,Yingtan,5_20
4.0,5,Yingtan,5_21
4.0,5,Yingtan,5_22
4.0,5,Yingtan,5_23
4.0,5,Yingtan,5_24
4.0,5,Yingtan,5_25
4.0,5,Yingtan,5_26
4.0,5,Yingtan,5_27
4.0,5,Yingtan,5_28
4.0,5,Yingtan,5_29
4.0,5,Yingtan,5_30
4.0,5,Yingtan,5_31
4.0,5,Yingtan,5_32
5.0,5,Yingtan,5_33
4.0,5,Yingtan,5_34
4.0,5,Yingtan,5_35
5.0,5,Yingtan,5_36
4.0,5,Yingtan,5_37
5.0,5,Yingtan,5_38
4.0,5,Yingtan,5_39
4.0,5,Yingtan,5_40
4.0,5,Yingtan,5_41
4.0,5,Yingtan,5_42
5.0,5,Yingtan,5_43
4.0,5,Yingtan,5_44
5.0,5,Yingtan,5_45
4.0,5,Yingtan,5_46
4.0,5,Yingtan,5_47
4.0,5,Yingtan,5_48
5.0,5,Yingtan,5_49
4.0,5,Yingtan,5_50
5.0,5,Yingtan,5_51
4.0,5,Yingtan,5_52
4.0,5,Yingtan,5_53
4.0,5,Yingtan,5_54
4.0,5,Yingtan,5_55
4.0,5,Yingtan,5_56
5.0,5,Yingtan,5_57
4.0,5,Yingtan,5_58
4.0,5,Yingtan,5_59
5.0,5,Yingtan,5_60
4.0,5,Yingtan,5_61
4.0,5,Yingtan,5_62
4.0,5,Yingtan,5_63
4.0,5,Yingtan,5_64
4.0,5,Yingtan,5_65
4.0,5,Yingtan,5_66
4.0,5,Yingtan,5_67
4.0,5,Yingtan,5_68
4.0,5,Yingtan,5_69
4.0,5,Yingtan,5_70
4.0,5,Yingtan,5_71
4.0,5,Yingtan,5_72
4.0,5,Yingtan,5_73
4.0,5,Yingtan,5_74
4.0,5,Yingtan,5_75
4.0,5,Yingtan,5_76
4.0,5,Yingtan,5_77
5.0,5,Yingtan,5_78
4.0,5,Yingtan,5_79
4.0,5,Yingtan,5_80
4.0,5,Yingtan,5_81
4.0,5,Yingtan,5_82
4.0,5,Yingtan,5_83
5.0,5,Yingtan,5_84
4.0,5,Yingtan,5_85
4.0,5,Yingtan,5_86
4.0,5,Yingtan,5_87
4.0,5,Yingtan,5_88
4.0,5,Yingtan,5_89
4.0,5,Yingtan,5_90
4.0,5,Yingtan,5_91
4.0,5,Yingtan,5_92
5.0,5,Yingtan,5_93
